customer_unique_id,business_risk_tier,operational_risk_score,calibrated_churn_prob,risk_percentile,actual_churn,recency_days,tenure_days,frequency_orders,frequency_items,is_repeat_buyer_hist,total_spend,total_freight,avg_order_value,avg_item_price,freight_ratio,avg_review_score,has_low_review,has_review_at_snapshot,avg_delivery_delay_days,late_delivery_rate,pending_delivery_at_snapshot,has_delivery_history,avg_payment_installments,credit_card_share,boleto_share,distinct_categories,customer_state,first_purchase,last_purchase
ff4159b92c40ebe40454e3e6a7c35ed6,High Risk,1.0,1.0,100.0,1,280.23987268518516,280.23987268518516,1,1,0,6499.0,227.66,6499.0,6499.0,0.0338444339339517,5.0,0,1,-22.284861111111113,0.0,0,1,1.0,0.0,0.9999999998513378,1,SP,2017-05-24 18:14:34,2017-05-24 18:14:34
dc4802a71eae9be1dd28f5d788ceb526,High Risk,1.0,1.0,100.0,1,381.14054398148147,381.14054398148147,1,1,0,6735.0,194.31,6735.0,6735.0,0.028041753070934657,5.0,0,1,-5.400486111111111,0.0,0,1,8.0,0.9999999998556854,0.0,1,Other,2017-02-12 20:37:36,2017-02-12 20:37:36
eebb5dda148d3893cdaf5b5ca3040ccb,High Risk,0.9994,1.0,100.0,1,316.2151157407407,316.2151157407407,1,1,0,4690.0,74.34,4690.0,4690.0,0.015603420407526871,4.0,0,1,-7.553715277777778,0.0,0,1,8.0,0.9999999997901072,0.0,1,SP,2017-04-18 18:50:13,2017-04-18 18:50:13
edf81e1f3070b9dac83ec83dacdbb9bc,High Risk,0.9993,1.0,100.0,1,316.1406597222222,316.1406597222222,1,1,0,3999.0,195.76,3999.0,3999.0,0.046667747368939395,2.0,1,1,-11.407222222222222,0.0,0,1,8.0,0.9999999997616073,0.0,1,Other,2017-04-18 20:37:26,2017-04-18 20:37:26
5e713be0853d8986528d7869a0811d2b,High Risk,0.999,1.0,100.0,1,389.2123148148148,389.2123148148148,1,1,0,3980.0,62.74,3980.0,3980.0,0.015519177583639025,5.0,0,1,-49.43201388888889,0.0,0,1,5.0,0.9999999997526431,0.0,1,Other,2017-02-04 18:54:15,2017-02-04 18:54:15
03796b63235e0e0a299084988c662c7e,High Risk,0.9986,1.0,100.0,1,372.22524305555555,372.22524305555555,1,1,0,3549.0,53.47,3549.0,3549.0,0.014842594104921737,5.0,0,1,-14.30574074074074,0.0,0,1,1.0,0.9999999997224127,0.0,1,Other,2017-02-21 18:35:38,2017-02-21 18:35:38
5d09b0d82126457e2a8ebfb9c9a1ffc4,High Risk,0.9981,0.9999,100.0,1,383.5698726851852,383.5698726851852,1,1,0,3699.99,36.23,3699.99,3699.99,0.009696966450129551,4.0,0,1,-12.49449074074074,0.0,0,1,10.0,0.9999999997323499,0.0,1,Other,2017-02-10 10:19:22,2017-02-10 10:19:22
011875f0176909c5cf0b14a9138bb691,High Risk,0.9977,0.9999,100.0,1,347.1610532407407,347.1610532407407,1,1,0,3999.9,17.01,3999.9,3999.9,0.004234598234903297,5.0,0,1,-9.67505787037037,0.0,0,1,8.0,0.9999999997510525,0.0,1,SP,2017-03-18 20:08:04,2017-03-18 20:08:04
030a810edeec1ceea314282513023587,High Risk,0.9955,0.9999,100.0,1,295.3843171296296,295.3843171296296,1,1,0,2740.0,54.5,2740.0,2740.0,0.019502594374842516,2.0,1,1,-11.30394675925926,0.0,0,1,1.0,0.0,0.9999999996421542,1,Other,2017-05-09 14:46:34,2017-05-09 14:46:34
149b43a4776ea0a773ac75bc58830fb9,High Risk,0.9953,0.9999,100.0,1,255.2103587962963,255.2103587962963,1,1,0,2690.0,44.11,2690.0,2690.0,0.01613322067651513,1.0,1,1,-26.29952546296296,0.0,0,1,1.0,0.0,0.9999999996342503,1,Other,2017-06-18 18:57:04,2017-06-18 18:57:04
bc5e25094a7d51b6aee35236572e64f4,High Risk,0.995,0.9998,100.0,1,33.395578703703706,33.395578703703706,1,1,0,3690.0,136.8,3690.0,3690.0,0.03574788333967078,5.0,0,1,-12.421412037037037,0.0,0,1,10.0,0.9999999997386851,0.0,1,MG,2018-01-26 14:30:21,2018-01-26 14:30:21
ee2bb06c1d3f368e92084edefb7e4b57,High Risk,0.9941,0.9999,100.0,1,393.29042824074077,393.29042824074077,1,1,0,2999.0,17.01,2999.0,2999.0,0.0056399017225937905,5.0,0,1,-16.59210648148148,0.0,0,1,1.0,0.9999999996684361,0.0,1,SP,2017-01-31 17:01:46,2017-01-31 17:01:46
ae04948ad7210ea76801b331080e0b3a,High Risk,0.9936,0.9998,100.0,1,329.32440972222224,329.32440972222224,1,1,0,2951.0,58.53,2951.0,2951.0,0.019448219482959724,4.0,0,1,-8.215474537037037,0.0,0,1,10.0,0.9999999996677222,0.0,1,Other,2017-04-05 16:12:50,2017-04-05 16:12:50
6f00d356a4be20527662aaf12116baab,High Risk,0.9932,0.9997,100.0,1,100.06322916666667,100.06322916666667,1,1,0,2990.0,194.55,2990.0,2990.0,0.06109183399190095,2.0,1,1,23.981608796296296,1.0,0,1,10.0,0.999999999685984,0.0,1,Other,2017-11-20 22:28:56,2017-11-20 22:28:56
ea984b06b18cc6905bc2f9b0a3d1c986,High Risk,0.9932,0.9998,100.0,1,338.52304398148146,338.52304398148146,1,1,0,2999.89,24.19,2999.89,2999.89,0.007999127004576887,5.0,0,1,-2.3967824074074073,0.0,0,1,1.0,0.0,0.999999999669321,1,SP,2017-03-27 11:26:48,2017-03-27 11:26:48
0f75637a7e2f7b6ae43665d1f7d0ca5d,High Risk,0.9932,0.9998,100.0,1,357.2145023148148,357.2145023148148,1,1,0,2999.89,44.23,2999.89,2999.89,0.01452965060032796,5.0,0,1,-6.285578703703703,0.0,0,1,10.0,0.9999999996714979,0.0,1,Other,2017-03-08 18:51:06,2017-03-08 18:51:06
6172bd5b7f52ade8c6c4548b448ff54f,High Risk,0.9923,0.9998,100.0,1,237.3808101851852,237.3808101851852,1,1,0,2999.89,41.84,2999.89,2999.89,0.013755330021482734,5.0,0,1,-13.344444444444445,0.0,0,1,1.0,0.0,0.9999999996712398,1,RJ,2017-07-06 14:51:37,2017-07-06 14:51:37
2ae8173a688e326821403a5b7a6858c2,High Risk,0.992,0.9998,100.0,1,345.2005208333333,345.2005208333333,1,1,0,2999.89,42.47,2999.89,2999.89,0.013959557707187988,4.0,0,1,-4.445277777777778,0.0,0,1,10.0,0.9999999996713078,0.0,1,MG,2017-03-20 19:11:14,2017-03-20 19:11:14
